# n=1000000000000000000,k=7,i_requested=2,i_effective=2,j=8,reason=cycle
# count_total=2159,count_divisible=1153,count_non_zero=1006
# count_divisible_k2_or_more=147,gamma=0.12749349522983522
# mean_non_zero=3.481113320079523,var_non_zero=2.8699216233414706,std_non_zero=1.694084302312453,skew_non_zero=0.04474332502922145
# shannon_entropy_non_zero=2.582764715641138,Hmax=2.584962500721156,ratio=0.9991497806720968,delta=0.002197785080018111
# cycle_start=1998 cycle_length=161
step,value,remainder,is_divisible_by_k,k_adic_valuation
186,226147796141302224,0,1,1
187,32306828020186032,5,0,0
188,290761452181674558,0,1,1
189,41537350311667794,3,0,0
190,373836152805010308,0,1,1
191,53405164686430044,5,0,0
192,480646482177870666,0,1,2
193,68663783168267238,0,1,1
194,9809111881181034,2,0,0
195,88282006930629414,0,1,1
196,12611715275804202,5,0,0
197,113505437482238088,0,1,2
198,16215062497462584,0,1,1
199,2316437499637512,6,0,0
200,20847937496737932,0,1,1
201,2978276785248276,1,0,0
202,26804491067234538,0,1,2
203,3829213009604934,0,1,1
204,547030429943562,5,0,0
205,4923273869492328,0,1,1
206,703324838498904,6,0,0
207,6329923546490460,0,1,1
208,904274792355780,6,0,0
209,8138473131202344,0,1,1
210,1162639018743192,4,0,0
211,10463751168688944,0,1,1
212,1494821595526992,5,0,0
213,13453394359743198,0,1,1
214,1921913479963314,5,0,0
215,17297221319670096,0,1,1
216,2471031617095728,1,0,0
217,22239284553861606,0,1,1
218,3177040650551658,2,0,0
219,28593365854965030,0,1,1
220,4084766550709290,5,0,0
221,36762898956383880,0,1,1
222,5251842708054840,2,0,0
223,47266584372493668,0,1,1
224,6752369196070524,5,0,0
225,60771322764634986,0,1,1
226,8681617537804998,3,0,0
227,78134557840245144,0,1,1
228,11162079691463592,3,0,0
229,100458717223172490,0,1,1
230,14351245317596070,2,0,0
231,129161207858364738,0,1,1
232,18451601122623534,5,0,0
233,166064410103612076,0,1,1
234,23723487157658868,6,0,0
235,213511384418930136,0,1,2
236,30501626345561448,0,1,1
237,4357375192223064,4,0,0
238,39216376730007792,0,1,1
239,5602339532858256,6,0,0
240,50421055795724628,0,1,1
241,7203007970817804,5,0,0
242,64827071737360506,0,1,1
243,9261010248194358,3,0,0
244,83349092233749384,0,1,2
245,11907013176249912,0,1,1
246,1701001882321416,3,0,0
247,15309016940892906,0,1,1
248,2187002420127558,5,0,0
249,19683021781148292,0,1,1
250,2811860254449756,6,0,0
251,25306742290048128,0,1,1
252,3615248898578304,1,0,0
253,32537240087204790,0,1,1
254,4648177155314970,4,0,0
255,41833594397834946,0,1,1
256,5976227771119278,1,0,0
257,53786049940073556,0,1,1
258,7683721420010508,5,0,0
259,69153492780094842,0,1,1
260,9879070397156406,5,0,0
261,88911633574407924,0,1,1
262,12701661939201132,2,0,0
263,114314957452810296,0,1,1
264,16330708207544328,3,0,0
265,146976373867899114,0,1,1
266,20996624838271302,3,0,0
267,188969623544441880,0,1,1
268,26995660506348840,5,0,0
269,242960944557139830,0,1,1
270,34708706365305690,4,0,0
271,312378357287751426,0,1,1
272,44625479612535918,5,0,0
273,401629316512823532,0,1,1
274,57375616644689076,6,0,0
275,516380549802202008,0,1,1
276,73768649971743144,5,0,0
277,663917849745688566,0,1,1
278,94845407106526938,1,0,0
279,853608663958742496,0,1,1
280,121944094851248928,6,0,0
281,1097496853661240676,0,1,1
282,156785264808748668,1,0,0
283,1411067383278738066,0,1,1
284,201581054754105438,6,0,0
285,1814229492786949266,0,1,1
286,259175641826707038,6,0,0
287,2332580776440363666,0,1,1
288,333225825205766238,4,0,0
289,2999032426851896358,0,1,2
290,428433203835985194,0,1,1
291,61204743405140742,1,0,0
292,550842690646266732,0,1,1
293,78691812949466676,1,0,0
294,708226316545200138,0,1,1
295,101175188077885734,1,0,0
296,910576692700971660,0,1,1
297,130082384671567380,3,0,0
298,1170741462044106582,0,1,2
299,167248780292015226,0,1,1
300,23892682898859318,5,0,0
301,215034146089734132,0,1,1
302,30719163727104876,2,0,0
303,276472473543943992,0,1,1
304,39496067649134856,4,0,0
305,355464608842213920,0,1,2
306,50780658406030560,0,1,1
307,7254379772290080,3,0,0
308,65289417950610882,0,1,1
309,9327059707230126,1,0,0
310,83943537365071188,0,1,1
311,11991933909295884,5,0,0
312,107927405183663226,0,1,1
313,15418200740523318,3,0,0
314,138763806664710024,0,1,2
315,19823400952101432,0,1,1
316,2831914421728776,6,0,0
317,25487229795559308,0,1,1
318,3641032827937044,1,0,0
319,32769295451433450,0,1,1
320,4681327921633350,1,0,0
321,42131951294700204,0,1,1
322,6018850184957172,3,0,0
323,54169651664614710,0,1,1
324,7738521666373530,4,0,0
325,69646694997361986,0,1,1
326,9949527856765998,4,0,0
327,89545750710894198,0,1,1
328,12792250101556314,4,0,0
329,115130250914007042,0,1,1
330,16447178702001006,1,0,0
331,148024608318009108,0,1,1
332,21146372616858444,4,0,0
333,190317353551726212,0,1,1
334,27188193364532316,4,0,0
335,244693740280791060,0,1,1
336,34956248611541580,1,0,0
337,314606237503874274,0,1,1
338,44943748214839182,2,0,0
339,404493733933552746,0,1,1
340,57784819133364678,5,0,0
341,520063372200282372,0,1,2
342,74294767457183196,0,1,1
343,10613538208169028,6,0,0
344,95521843873521576,0,1,1
345,13645977696217368,5,0,0
346,122813799265956582,0,1,1
347,17544828466565226,1,0,0
348,157903456199087088,0,1,1
349,22557636599869584,3,0,0
350,203018729398826418,0,1,1
351,29002675628403774,3,0,0
352,261024080655634128,0,1,1
353,37289154379376304,6,0,0
354,335602389414387060,0,1,1
